Category,Group,Model Type,Sample Size,Accuracy,Precision,Recall,F1 Score,ROC AUC
By Age Group,30s-40s,Baseline,19,0.3684210526315789,0.3684210526315789,1.0,0.5384615384615384,0.5416666666666667
By Age Group,30s-40s,Ensemble,19,0.3684210526315789,0.3684210526315789,1.0,0.5384615384615384,0.5416666666666667
By Age Group,50s,Baseline,23,0.391304347826087,0.391304347826087,1.0,0.5625,0.5
By Age Group,50s,Ensemble,23,0.391304347826087,0.391304347826087,1.0,0.5625,0.5
By Age Group,60+,Baseline,18,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5
By Age Group,60+,Ensemble,18,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5
By Gender,Female,Baseline,22,0.22727272727272727,0.22727272727272727,1.0,0.37037037037037035,0.5294117647058824
By Gender,Female,Ensemble,22,0.22727272727272727,0.22727272727272727,1.0,0.37037037037037035,0.5294117647058824
By Gender,Male,Baseline,38,0.6052631578947368,0.6052631578947368,1.0,0.7540983606557377,0.5
By Gender,Male,Ensemble,38,0.6052631578947368,0.6052631578947368,1.0,0.7540983606557377,0.5
By Intersectional Group,Male 30s-40s,Baseline,11,0.5454545454545454,0.5454545454545454,1.0,0.7058823529411765,0.5
By Intersectional Group,Male 30s-40s,Ensemble,11,0.5454545454545454,0.5454545454545454,1.0,0.7058823529411765,0.5
By Intersectional Group,Male 50s,Baseline,16,0.5,0.5,1.0,0.6666666666666666,0.5
By Intersectional Group,Male 50s,Ensemble,16,0.5,0.5,1.0,0.6666666666666666,0.5
By Intersectional Group,Male 60+,Baseline,11,0.8181818181818182,0.8181818181818182,1.0,0.9,0.5
By Intersectional Group,Male 60+,Ensemble,11,0.8181818181818182,0.8181818181818182,1.0,0.9,0.5
Overall,All Data,Baseline,60,0.4666666666666667,0.4666666666666667,1.0,0.6363636363636364,0.515625
Overall,All Data,Ensemble,60,0.4666666666666667,0.4666666666666667,1.0,0.6363636363636364,0.515625
