Category,Group,Model Type,Sample Size,Accuracy,Precision,Recall,F1 Score,ROC AUC
Baseline,Overall,Baseline,90,0.8555555555555555,0.8918918918918919,0.7857142857142857,0.8354430379746836,0.9340277777777777
By Gender,Male,Baseline,55,0.8,0.8666666666666667,0.7878787878787878,0.8253968253968254,0.8815426997245179
By Gender,Male,Specialized,55,0.8181818181818182,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8856749311294766
By Gender,Female,Baseline,35,0.9428571428571428,1.0,0.7777777777777778,0.875,0.982905982905983
By Gender,Female,Specialized,35,0.8571428571428571,0.75,0.6666666666666666,0.7058823529411765,0.8632478632478633
By Age Group,30s-40s,Baseline,32,0.9375,1.0,0.8333333333333334,0.9090909090909091,0.9958333333333333
By Age Group,30s-40s,Specialized,32,0.875,1.0,0.6666666666666666,0.8,0.9541666666666667
By Age Group,50s,Baseline,34,0.8235294117647058,0.8571428571428571,0.75,0.8,0.9027777777777778
By Age Group,50s,Specialized,34,0.8823529411764706,0.9285714285714286,0.8125,0.8666666666666667,0.8854166666666666
By Age Group,60+,Baseline,23,0.782608695652174,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8333333333333333
By Age Group,60+,Specialized,23,0.6086956521739131,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.6984126984126984
By Intersectional Group,Male 30s-40s,Baseline,19,0.8947368421052632,1.0,0.8181818181818182,0.9,1.0
By Intersectional Group,Male 30s-40s,Specialized,19,0.9473684210526315,1.0,0.9090909090909091,0.9523809523809523,1.0
By Intersectional Group,Male 50s,Baseline,22,0.7727272727272727,0.8333333333333334,0.7692307692307693,0.8,0.8632478632478633
By Intersectional Group,Male 50s,Specialized,22,0.8636363636363636,0.9166666666666666,0.8461538461538461,0.88,0.8632478632478633
By Intersectional Group,Male 60+,Baseline,13,0.6923076923076923,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666
By Intersectional Group,Male 60+,Specialized,13,0.6153846153846154,0.7,0.7777777777777778,0.7368421052631579,0.4444444444444444
By Intersectional Group,Female 50s,Baseline,12,0.9166666666666666,1.0,0.6666666666666666,0.8,1.0
By Intersectional Group,Female 50s,Specialized,12,1.0,1.0,1.0,1.0,1.0
By Intersectional Group,Female 60+,Baseline,10,0.9,1.0,0.8,0.8888888888888888,1.0
By Intersectional Group,Female 60+,Specialized,10,0.7,1.0,0.4,0.5714285714285714,0.9600000000000001
