Group,Baseline,Specialized,Improvement
Male 50s,0.7727272727272727,0.8636363636363636,0.09090909090909094
Female 50s,0.9166666666666666,1.0,0.08333333333333337
Age 50s,0.8235294117647058,0.8823529411764706,0.05882352941176472
Male 30s-40s,0.8947368421052632,0.9473684210526315,0.05263157894736836
Male,0.8,0.8181818181818182,0.018181818181818188
Age 30s-40s,0.9375,0.875,-0.0625
Male 60+,0.6923076923076923,0.6153846153846154,-0.07692307692307687
Female,0.9428571428571428,0.8571428571428571,-0.08571428571428574
Age 60+,0.782608695652174,0.6086956521739131,-0.17391304347826086
Female 60+,0.9,0.7,-0.20000000000000007
