Group,Baseline,Specialized,Improvement
Female 50s,0.8,1.0,0.19999999999999996
Male 50s,0.8,0.88,0.07999999999999996
Age 50s,0.8,0.8666666666666667,0.06666666666666665
Male 30s-40s,0.9,0.9523809523809523,0.052380952380952306
Male,0.8253968253968254,0.8484848484848485,0.023088023088023157
Male 60+,0.7777777777777778,0.7368421052631579,-0.040935672514619936
Age 30s-40s,0.9090909090909091,0.8,-0.10909090909090902
Age 60+,0.8148148148148148,0.6666666666666666,-0.14814814814814814
Female,0.875,0.7058823529411765,-0.16911764705882348
Female 60+,0.8888888888888888,0.5714285714285714,-0.31746031746031744
