Group,Baseline,Specialized,Improvement
Female 50s,0.6666666666666666,1.0,0.33333333333333337
Male 30s-40s,0.8181818181818182,0.9090909090909091,0.09090909090909083
Male 50s,0.7692307692307693,0.8461538461538461,0.07692307692307687
Age 50s,0.75,0.8125,0.0625
Male,0.7878787878787878,0.8484848484848485,0.06060606060606066
Male 60+,0.7777777777777778,0.7777777777777778,0.0
Female,0.7777777777777778,0.6666666666666666,-0.11111111111111116
Age 60+,0.7857142857142857,0.6428571428571429,-0.1428571428571428
Age 30s-40s,0.8333333333333334,0.6666666666666666,-0.16666666666666674
Female 60+,0.8,0.4,-0.4
