Group,Baseline,Specialized,Improvement
Male,0.8815426997245179,0.8856749311294766,0.004132231404958664
Male 30s-40s,1.0,1.0,0.0
Male 50s,0.8632478632478633,0.8632478632478633,0.0
Female 50s,1.0,1.0,0.0
Age 50s,0.9027777777777778,0.8854166666666666,-0.01736111111111116
Female 60+,1.0,0.9600000000000001,-0.039999999999999925
Age 30s-40s,0.9958333333333333,0.9541666666666667,-0.04166666666666663
Female,0.982905982905983,0.8632478632478633,-0.11965811965811968
Age 60+,0.8333333333333333,0.6984126984126984,-0.13492063492063489
Male 60+,0.6666666666666666,0.4444444444444444,-0.2222222222222222
